accept,suggested_website,id,name,operator,calc_postcode_district,calc_postcode_area,addr_housenumber,addr_street,addr_city,confidence,notes,,
1,https://www.sirsydneysmith.com,way/413193939,Sir Sidney Smith,,E1,E,22,Dock Street,London,0.95,"openai:The URL is the official site for Sir Sydney Smith pub at 22 Dock Street, London E1, matching the pub's address exactly and showing detailed location info. Other pages on the same domain confirm the same operator and address. This is clearly the pub's official website.;loc_ok=district+address",,
0,https://pubwiki.co.uk/LondonPubs//MileEnd/MileEndRoad410.shtml,way/200356056,The Bancroft Arms,,E1,E,410,Mile End Road,London,0.9,"openai:This URL explicitly mentions the exact address '410 Mile End Road' matching the pub's address, providing strong location evidence. It is a dedicated pub wiki site rather than a social network or aggregator.;loc_ok=district+address",,
1,https://www.thebuxton.co.uk/,node/10251784717,The Buxton,,E1,E,42,Osborn Street,London,0.95,"openai:The URL is the official website for The Buxton pub and hotel at 42 Osborn Street, London E1, matching the pub's address exactly and providing direct information about the venue.;loc_ok=district+address",,
0,https://oldspitalfieldsmarket.com/journal/a-swift-half-at-the-golden-heart,way/157323017,The Golden Heart,,E1,E,110,Commercial Street,London,0.8,"openai:The URL is from Old Spitalfields Market site and mentions the exact address 110 Commercial Street, London E1, matching the pub's location and name.;loc_ok=district+address",,
0,https://www.pubsgalore.co.uk/pubs/25322/,node/3010570949,The Good Samaritan,,E1,E,87,Turner Street,London,0.9,"openai:The URL is a dedicated pub directory page that explicitly mentions the exact address 87 Turner Street E1 matching the pub's location, with strong geo evidence and no signs of being an aggregator or social network.;loc_ok=near_coords",,
1,https://www.thehornofplentypub.co.uk/,way/303225529,The Horn of Plenty,,E1,E,36,Globe Road,London,0.95,"openai:The URL matches the pub name exactly and the page snippet includes the exact address '36 Globe Road London E1', matching the pub's address and district, indicating it is the official website.;loc_ok=district+address",,
1,https://www.lightbarlondon.com/,way/205408905,The Light Bar,,E1,E,233,Shoreditch High Street,London,0.95,"openai:The URL lightbarlondon.com is the official website for The Light Bar in Shoreditch, London, matching the pub's name and location. The site description mentions the Victorian power station and Shoreditch, consistent with the address 233 Shoreditch High Street. Other candidates are reviews or directories, not official sites.;loc_ok=district+address",,
1,https://www.conquestpubs.co.uk/,node/296620391,The Oliver Conquest,,E1,E,70,Leman Street,London,0.9,"openai:The URL conquestpubs.co.uk explicitly mentions The Oliver Conquest at 70 Leman St, London E1 8EU, matching the pub's address exactly and is likely the official site.;loc_ok=district+address",,
1,https://thepeacocke1.com/home,way/395695853,The Peacock,,E1,E,145,Aylward Street,London,0.9,"openai:The URL explicitly matches the pub name and address (145 Aylward St, Stepney Green London E1), indicating it is the pub's official website.;loc_ok=district+address",,
1,https://www.urbanpubsandbars.com/venues/the-shoreditch-arms,node/371601279,the Shoreditch Arms,,E1,E,127,Shoreditch High Street,London,0.9,"openai:The URL is from Urban Pubs & Bars, a likely operator site, and explicitly mentions the exact address 127 Shoreditch High Street, London E1 6JE matching the pub's location. It is not a social network or aggregator.;loc_ok=district+address",,
0,https://pubwiki.co.uk/LondonPubs/Spitalfield/TenBells.shtml,way/157323000,The Ten Bells,,E1,E,84,Commercial Street,London,0.9,"openai:This candidate explicitly mentions the exact address 84 Commercial Street and the district Spitalfields E1 matching the pub's location, indicating it is about the correct venue. It is not an aggregator or social network.;loc_ok=district+address",,
1,https://thecoachleyton.com/,way/696129533,Coach and Horses,,E10,E,391,High Road Leyton,London,0.95,"openai:The site thecoachleyton.com clearly matches the pub name and address (391 High Road Leyton, E10) and appears to be the official website for the Coach and Horses in Leyton. It is not an aggregator or social network and has strong evidence linking it to the exact location.;loc_ok=district+address",,
0,https://www.sluurpy.com/en/london/restaurant/9435592/the-prince-of-wales,way/444200909,Prince of Wales,,E10,E,777,High Road Leyton,London,0.9,"openai:This URL explicitly mentions the pub name and exact address '777 High Road Leyton, E10', matching the given pub location closely, indicating it is the correct venue's page rather than a general or unrelated site.;loc_ok=district+address",,
0,https://www.useyourlocal.com/pubs/plough-and-harrow-london-e11-3208/,way/230406331,Plough and Harrow,,E11,E,419,High Road Leytonstone,London,0.9,"openai:The URL is a dedicated pub listing mentioning the exact address and postcode area E11, matching the given pub location. It is not an aggregator or social network and appears to be a focused local pub site.;loc_ok=near_coords",,
1,https://www.thehitchcockhotel.com/,9ba74653-4cf8-475d-8ab8-ac4bd90998c8,Sir Alfred Hitchcock Hotel,Independent,E11,E,,,,0.9,"openai:This URL clearly identifies the Sir Alfred Hitchcock Hotel with the full address including postcode E11 1NP, matching the pub's district E11 and coordinates closely. It is a venue-specific site rather than a social or aggregator site.;loc_ok=near_coords",,
1,https://thebirkbecktavern.co.uk/,way/296756574,The Birkbeck Tavern,,E11,E,45,Langthorne Road,London,0.9,"openai:The URL explicitly matches the pub name and address (45 Langthorne Road, London, E11) given in the pub data, indicating it is the official or primary website for The Birkbeck Tavern at the correct location.;loc_ok=district+address",,
1,https://www.urbanpubsandbars.com/venues/the-george-and-dragon,way/1337211309,The George and Dragon,Urban Pubs and Bars,E11,E,159,High Street,London,1,"openai:The URL is the official site of the operator Urban Pubs and Bars, matches the exact address 155-159 High Street Wanstead London E11, and is clearly about The George and Dragon pub.;loc_ok=district+address",,
1,https://www.nightingaleonthegreen.co.uk/,way/163502247,The Nightingale,,E11,E,51,Nightingale Lane,London,0.9,"openai:The URL is a dedicated domain for 'Nightingale On The Green' in Wanstead, London, matching the pub's name and area. It has a good evidence score and is not an aggregator or social network. The address matches the known location in E11.;loc_ok=district+address",,
1,https://www.theoldcrownleytonstone.co.uk/,way/310789678,The Old Crown,,E11,E,692,High Road Leytonstone,London,1,"openai:The URL matches the pub name and exact address 692 High Road Leytonstone with postcode area E11, confirmed by page snippet and high geo bonus, indicating it is the official website.;loc_ok=near_coords",,
1,https://www.urbanpubsandbars.com/venues/the-red-lion-leytonstone,way/28836414,The Red Lion,Antic London,E11,E,640,High Road Leytonstone,London,0.9,"openai:URL is from Urban Pubs & Bars, a known operator site matching the operator 'Antic London'; page mentions Leytonstone and the pub name, consistent with address 640 High Road Leytonstone.;loc_ok=district+address",,
1,https://therookwoodvillage.com/,way/930391987,The Rookwood Village,,E11,E,314,Cann Hall Road,London,0.9,"openai:The URL explicitly matches the pub name and mentions the correct street (Cann Hall Road) and area (Leytonstone, London E11), indicating it is the official or primary site for the pub. It has the highest combined page evidence score and relevant location details compared to others.;loc_ok=district+address",,
0,https://travelxchange.com.au/pubdet.asp?hotid=PA23750&Type=pub,way/1116641607,South West Ham Labour Club,,E13,E,11A,St Andrew's Road,London,0.8,"openai:The URL explicitly matches the pub name and full address including 11A St Andrew's Road, London E13, with strong geo evidence and detailed page content about the pub, indicating it is specifically about this venue.;loc_ok=near_coords",,
0,https://www.lemonrock.com/abbeyplaistow?follow,node/356973074,The Abbey Arms,,E13,E,384,Barking Road,London,0.9,"openai:The Lemonrock page explicitly mentions the exact address 384 Barking Road, Plaistow, London E13 8HL matching the pub's location, providing strong geographic evidence that it is the correct site for this pub.;loc_ok=near_coords",,
0,https://www.allinlondon.co.uk/clubs-bars/pubs/4891-the-lord-stanley,way/1120585512,The Lord Stanley,,E13,E,15,St Mary's Road,London,0.9,"openai:The URL page mentions the exact address 15 St. Mary's Road, Newham, London E13 9AE matching the pub's location and name, with a strong geo bonus and relevant content. Other candidates are mostly aggregators or less authoritative.;loc_ok=near_coords",,
0,https://thevictoriatavern.co.uk/victoria-tavern/the-victoria-tavern-in-the-good-pub-guide/,way/450148697,Victoria Tavern,,E13,E,28,High Street,London,0.9,"openai:This URL is a dedicated domain (thevictoriatavern.co.uk) that specifically references the Victoria Tavern at 28 High Street, Plaistow, London E13 0AJ, matching the pub's address and area. It is not an aggregator or social network and has strong page evidence.;loc_ok=district+address",,
0,https://pubology.co.uk/pubs/3711.html,way/190355898,5b Urban Bar,,E14,E,27,Three Colt Street,London,0.9,"openai:The URL is a dedicated pub listing with exact address 27 Three Colt Street and E14 postcode area matching the pub's location; it is not a social network or aggregator but a pub-specific site, providing strong evidence of relevance.;loc_ok=near_coords",,
0,https://chrispstreet.com/item/callaghanns/,way/191304258,Callaghanns,,E14,E,55,Chrisp Street,London,0.9,"openai:The URL is directly related to Chrisp Street where the pub is located, mentions the exact address 55 Chrisp Street, London E14, and appears to be a local site for the market area, making it highly relevant and likely the best official or local page for the pub.;loc_ok=near_coords",,
0,https://www.useyourlocal.com/pubs/hope-and-anchor-london-e14-3249/,way/413367881,Hope & Anchor,,E14,E,14,Newby Place,London,0.9,"heuristic:https://www.useyourlocal.com/pubs/hope-and-anchor-london-e14-3249/;ai_confirmed=The page excerpt specifically describes Hope & Anchor at 14 Newby Place, London E14, matching the pub name and address exactly, indicating this is the official or dedicated page for this venue.;loc_ok=near_coords",,
1,https://pepperstreettavern.co.uk/,way/187272264,Pepper Street Tavern,Clapham Leisure,E14,E,21,Pepper Street,London,0.95,"openai:The domain pepperstreettavern.co.uk matches the pub name exactly and the pages mention the correct address 21 Pepper Street, London E14, confirming location. This is clearly the official website rather than an aggregator or social site.;loc_ok=district+address",,
0,https://www.useyourlocal.com/pubs/crown-london-e14-12831/,way/190897364,The Crown,,E14,E,667,Commercial Road,London,0.9,"openai:The URL explicitly mentions the pub name, exact address (667 Commercial Road), and postcode area E14, matching the given pub details closely. It appears to be a dedicated pub listing rather than an aggregator or social network.;loc_ok=near_coords",,
1,https://ferrygood.co.uk/,way/353735190,The Ferry House,,E14,E,26,Ferry Street,London,0.9,"openai:The URL ferrygood.co.uk is titled 'The Ferry House - The Isle of Dogs' Oldest Pub' and mentions the location near Island Gardens DLR and Greenwich Foot Tunnel, matching the pub's location on Ferry Street, Isle of Dogs, London E14. It is not an aggregator or social network and appears to be the pub's official site.;loc_ok=district+address",,
0,https://www.pubsgalore.co.uk/pubs/25158/,way/191304272,The Festival Inn,,E14,E,71,Grundy Street,London,0.9,"openai:The URL explicitly matches the pub name and address (71 Grundy Street, E14) with strong geo evidence and detailed page info, indicating it is a dedicated pub listing rather than an aggregator or unrelated site.;loc_ok=near_coords",,
0,https://publocation.uk/pubs/london/tower-hamlets/the-george,way/193308924,The George,,E14,E,114-114a,Glengall Grove,London,0.8,"openai:The URL clearly references The George pub in Tower Hamlets, London with the correct address 114-114a Glengall Grove and postcode E14 3ND matching the given location. It is a dedicated pub info site rather than an aggregator or social network.;loc_ok=district+address",,
1,https://greenwichpensioner.co.uk,way/372953882,The Greenwich Pensioner,,E14,E,28,Bazely Street,London,0.95,"heuristic:https://greenwichpensioner.co.uk/find-us/;ai_confirmed=The URL is the official site for The Greenwich Pensioner at 28 Bazely Street, London E14, matching the pub name and address exactly.;loc_ok=district+address",,
1,https://www.theshipcanarywharf.co.uk/,way/354074631,The Ship,,E14,E,290,Westferry Road,London,0.95,"openai:The URL matches the pub name and address exactly (290 Westferry Road, London E14), with contact details confirming location. It is clearly the official website, unlike other candidates which are aggregators or booking sites.;loc_ok=district+address",,
0,https://www.ourbow.com/the-aberfeldy-pub-comes-to-life-again-as-the-tommy-flowers/,node/7250542203,The Tommy Flowers,,E14,E,50,Aberfeldy Street,London,0.9,"heuristic:https://www.ourbow.com/the-aberfeldy-pub-comes-to-life-again-as-the-tommy-flowers/;ai_confirmed=The page is specifically about The Tommy Flowers pub at 50 Aberfeldy Street, London E14, matching the pub name and address exactly, and describes it as a community pub venue.;loc_ok=district+address",,
1,https://www.cartandhorses.london/,way/465890007,Cart and Horses,,E15,E,1,Maryland Point,London,0.95,"openai:The URL cartandhorses.london matches the pub name exactly and the pages mention the address 1 Maryland Point, Stratford, London, E15, which matches the given location. It appears to be the official website with multiple relevant pages.;loc_ok=district+address",,
0,https://www.allinlondon.co.uk/clubs-bars/pubs/4883-the-bay-tree,way/609577381,The Bay Tree,,E15,E,59,Vicarage Lane,London,0.9,"openai:The URL mentions the exact address 59 Vicarage Lane, Stratford, London E15 4HG matching the pub location and name. It is not a social network or aggregator but a local pub listing with address confirmation.;loc_ok=near_coords",,
0,https://www.inapub.co.uk/venues/8430,way/930766693,The Greyhound,,E15,E,136,West Ham Lane,London,0.9,"openai:The inapub.co.uk page explicitly lists the exact address 136 West Ham Lane, London, E15 4PT matching the pub's location, providing strong location evidence. It is a pub-specific site rather than an aggregator or social network.;loc_ok=near_coords",,
1,https://leytonstar.co.uk/,way/930360465,The Leyton Star,,E15,E,116,High Road Leyton,London,0.95,"openai:The URL leytonstar.co.uk is the official website with strong page evidence and geo bonus matching the pub's name and location at 116 High Road Leyton, E15.;loc_ok=near_coords",,
1,https://yeoldeblackbull.site/,way/465306936,Ye Olde Black Bull,,E15,E,13,Broadway,London,0.9,"openai:The URL explicitly mentions the address '13 Broadway' and Stratford, matching the pub's location and name, indicating it is likely the official or dedicated site for this specific Ye Olde Black Bull pub.;loc_ok=district+address",,
1,https://www.foxexcel.co.uk,node/529875654,Fox @ Excel,,E16,E,2,Western Gateway,London,0.95,"heuristic:https://www.foxexcel.co.uk/visitor-information;ai_confirmed=The page text excerpt clearly identifies the venue as Fox Excel at 2 Western Gateway, London E16, matching the pub name and address exactly, indicating this is the official site for that pub.;loc_ok=district+address",,
1,https://www.princessalexandrapub.co.uk/,way/826625485,The Princess Alexandra,,E16,E,219,Barking Road,London,0.9,"openai:The URL explicitly matches the pub name and address (219 Barking Road, London E16) with strong page evidence and no indication of being an aggregator or social network.;loc_ok=district+address",,
1,https://chequerse17.com/,way/196917803,The Chequers,,E17,E,145,High Street,London,0.95,"openai:The URL chequerse17.com directly matches the pub name and location (E17, 145 High Street) with strong geo evidence and is clearly the pub's official website.;loc_ok=near_coords",,
0,"https://london.randomness.org.uk/wiki.cgi?Duke%27s_Head,_E17_3HX",way/205876522,The Duke's Head,,E17,E,112,Wood Street,London,0.9,"openai:The URL is specifically about Duke's Head in E17 with a close postcode and location matching the pub's address on Wood Street, London. It is not an aggregator or social network and has strong geographic relevance.;loc_ok=near_coords",,
0,"https://london.randomness.org.uk/wiki.cgi?Nag%27s_Head,_E17_9LP",way/655249175,The Nag's Head,,E17,E,9,Orford Road,London,0.9,"openai:The URL explicitly mentions the pub name and exact address '9 Orford Road, E17 9LP' matching the given pub location, with strong geo evidence and page content focused on this specific Nag's Head in Walthamstow, London.;loc_ok=near_coords",,
1,https://www.starpubs.co.uk/pubs/william-morris-walthamstow,node/249672865,The William Morris,,E17,E,807-809,Forest Road,London,0.9,"openai:The URL is from Star Pubs, a known pub operator, and the page title and snippet clearly reference The William Morris at the correct address in Walthamstow, London E17. It is not a social network or aggregator and has a high page evidence score.;loc_ok=district+address",,
1,https://thecaptainkidd.co.uk/,way/425809862,Captain Kidd,,E1W,E,108,Wapping High Street,London,1,"openai:Official pub website with exact address 108 Wapping High Street, London E1W matching the pub data.;loc_ok=district+address",,
1,https://www.turnersoldstar.co.uk/,way/422666464,Turner's Old Star,,E1W,E,14,Watts Street,London,0.9,"openai:The URL is the official website of Turner's Old Star, matches the pub's exact address (14 Watts Street, Wapping, London E1W 2QG), and has a high page evidence score. It is clearly the pub's own site rather than an aggregator or third party.;loc_ok=district+address",,
1,https://www.angelandcrown.co.uk/,way/616081584,Angel & Crown,,E2,E,170,Roman Road,London,0.95,"openai:The URL matches the pub name exactly, includes the full address '170 Roman Rd, Bethnal Green; London E2 0RY', and appears to be the official website with contact details and menus.;loc_ok=district+address",,
0,https://efp.brewdog.com/es/blog/brewdog-shoreditch,node/339719862,BrewDog,BrewDog,E2,E,51-55,Bethnal Green Road,London,0.9,"openai:The URL is from the official BrewDog domain and explicitly mentions the exact address 51-55 Bethnal Green Road, matching the pub location.;loc_ok=address_tokens",,
1,https://www.thecarpentersarms.net/,way/230788987,Carpenters Arms,,E2,E,73,Cheshire Street,London,0.95,"openai:The URL is the official website for The Carpenters Arms at 73 Cheshire Street, London, matching the pub's address and name exactly with strong page evidence.;loc_ok=address_tokens",,
1,https://madcats.uk/,way/373262266,Mad Cats,,E2,E,107,Redchurch Street,London,0.9,"openai:The URL madcats.uk explicitly matches the pub name and address (107 Redchurch Street, E2 7DL) in the snippet, indicating it is the official website. Other candidates are aggregators or less direct.;loc_ok=district+address",,
0,https://pubology.co.uk/pubs/2726.html,node/4558839822,The Bethnal Green Tavern,,E2,E,456,Bethnal Green Road,London,0.9,"openai:The pubology.co.uk page explicitly matches the pub name and exact address 456 Bethnal Green Road, E2, with strong geo evidence and detailed info about the pub's history and name changes, making it the best match for the official or dedicated pub page.;loc_ok=near_coords",,
1,https://www.urbanpubsandbars.com/venues/the-birdcage,way/973123074,The Birdcage,,E2,E,80,Columbia Road,London,0.95,"heuristic:https://www.urbanpubsandbars.com/venues/the-birdcage;ai_confirmed=The URL is for The Birdcage pub located at 80 Columbia Road, London E2, matching the pub name and address exactly. The page text excerpt describes the venue in detail, confirming it is the official site or operator page for this specific pub.;loc_ok=district+address",,
0,https://www.inapub.co.uk/venues/the-camel/bethnal-green/e20je/8297,way/200855783,The Camel,,E2,E,277,Globe Road,London,0.9,"openai:URL clearly matches the pub name and location with postcode E2 0JE close to given address; inapub is a venue site but not an aggregator or social network, and it has strong geo evidence.;loc_ok=near_coords",,
0,https://www.pubology.co.uk/pubs/2693.html,way/200855784,The Florist Arms,,E2,E,255,Globe Road,London,0.9,"openai:The Pubology page explicitly mentions the exact address 255 Globe Road, E2 0JD matching the pub's location, providing strong geographic evidence.;loc_ok=near_coords",,
1,https://theharee2.com/find-us/,way/142371494,The Hare,,E2,E,505,Cambridge Heath Road,London,0.9,"heuristic:https://theharee2.com/find-us/;ai_confirmed=The page explicitly names 'The Hare Pub' at '505 Cambridge Heath Rd London E2 9BU', matching the pub's name and address exactly, indicating it is the official site for this venue.;loc_ok=district+address",,
1,https://www.thekingsarmspub.com/,way/996134486,The Kings Arms,,E2,E,11A,Buckfast Street,London,0.95,"openai:The URL matches the pub name exactly and the page snippet includes the exact address 11a Buckfast Street, London, E2, matching the pub's location.;loc_ok=district+address",,
1,https://www.marksmanpublichouse.com/,way/546566232,The Marksman,,E2,E,254,Hackney Road,London,0.95,"openai:The URL is the official website of The Marksman at 254 Hackney Road, London E2, matching the pub's address exactly and mentioning the Michelin award, indicating it is the pub's own site.;loc_ok=district+address",,
0,https://www.useyourlocal.com/pubs/shakespeare-london-e2-3406/,way/1169647919,The Shakespeare,,E2,E,460,Bethnal Green Road,London,0.9,"openai:The URL clearly matches the pub name and address (Bethnal Green Road, London E2), has strong geo evidence and a detailed description indicating it is the specific pub.;loc_ok=near_coords",,
1,https://www.urbanpubsandbars.com/venues/well-bucket,way/945438537,The Well and Bucket,,E2,E,143,Bethnal Green Road,London,0.85,"openai:The licklist.co.uk page is specifically about The Well and Bucket in London, mentions Shoreditch which matches the area, and has a high page evidence score plus a geo bonus indicating close location match. Other candidates are either aggregators or venue hire sites, not the pub's own or operator's site.;loc_ok=near_coords",,
0,https://www.folkandhoney.co.uk/london/the-eleanor-arms-v1104/,way/288532780,Eleanor Arms,,E3,E,460,Old Ford Road,London,0.9,"openai:The URL clearly identifies the pub by name and address (460 Old Ford Road, London, E3), matching the given pub details. It is not a social network or aggregator but a dedicated venue page.;loc_ok=district+address",,
1,https://www.thelordmorpeth.co.uk/,way/429273275,Lord Morpeth,,E3,E,402,Old Ford Road,London,0.95,"openai:The URL is the official-sounding domain matching the pub name, and the page snippet explicitly mentions the exact address 402 Old Ford Road, London E3, matching the pub's location. Other candidates are aggregators or social media.;loc_ok=district+address",,
0,https://www.allinlondon.co.uk/clubs-bars/pubs/11182-the-angel-of-bow,way/50826303,The Angel of Bow,,E3,E,171-173,Devons Road,London,0.8,"openai:The URL clearly references The Angel of Bow with the exact address 171-173 Devons Road, London, E3, matching the pub's location and name. It is not an aggregator or social network and has a strong geo bonus.;loc_ok=near_coords",,
0,https://pubwiki.co.uk/LondonPubs/Bromley/WidowsSon.shtml,way/408226105,The Widows Son,,E3,E,75,Devons Road,London,0.9,"openai:The URL explicitly mentions the pub name and address (75 Devons Road) matching the given pub data, and it is a dedicated pub wiki site rather than an aggregator or social network.;loc_ok=district+address",,
0,https://directory.leighjournal.co.uk/company/1288325475651584,way/626162189,The Dovecote,,E4,E,,Friday Hill,London,0.8,"openai:The URL matches the pub name and location (Friday Hill, London, E4 6EL) closely, with a high geo bonus and relevant address info. It is not a social network or aggregator.;loc_ok=near_coords",,
0,https://pubwiki.co.uk/EssexPubs/Chingford/kinghead.shtml,way/309899227,The Kings Head,,E4,E,2b,Kings Head Hill,London,0.8,"openai:The URL explicitly mentions the exact address '2b Kings Head Hill' and the area 'Chingford, E4', matching the pub's location and name closely. It appears to be a dedicated pub wiki page rather than an aggregator or social network.;loc_ok=district+address",,
1,https://www.larkshallpub.co.uk/,way/310872642,The Larkshall,,E4,E,205,Larkshall Road,London,0.95,"openai:The URL is the official website for The Larkshall pub, explicitly mentions the exact address 205 Larkshall Rd, London E4 6NT matching the pub's address, and is ranked highest with strong evidence.;loc_ok=district+address",,
1,https://royalforesteppingforest.com/,node/3077522360,The Royal Forest,,E4,E,4,Ranger's Road,London,0.95,"openai:The URL is the official site for The Royal Forest at Epping Forest, matching the address 4 Ranger's Road, London E4, and clearly representing the pub and hotel. It is not an aggregator or social network.;loc_ok=district+address",,
0,https://www.mcmullens.co.uk/local-pub/royal-oak-chingford/,way/309900396,The Royal Oak,,E4,E,219,Kings Head Hill,London,0.9,"openai:The McMullen site is the official operator site for the Royal Oak at Chingford, matching the address 219 Kings Head Hill and the E4 area, providing authoritative and relevant information.;loc_ok=district+address",,
1,https://www.thestagandlantern.co.uk/,way/916682836,The Stag and Lantern,,E4,E,11-12,The Broadway,London,1,"openai:The URL matches the pub name exactly and the page snippet includes the exact address '11-12 The Broadway London, England, E4 9LQ' matching the given address and district.;loc_ok=district+address",,
0,https://www.pubology.co.uk/pubs/247.html,way/593535886,Biddle Bros.,,E5,E,88,Lower Clapton Road,London,0.9,"openai:The URL clearly matches the pub name and address (88 Lower Clapton Road, E5) with strong geographic evidence and no indication of being an aggregator or social network.;loc_ok=near_coords",,
1,https://moyletts.co.uk/,way/594763297,Moyletts,,E5,E,181,Clarence Road,London,0.95,"openai:The URL moyletts.co.uk matches the pub name exactly and the page snippet includes the full address 181 Clarence Road, London E5 8EE, which matches the given address and district. This is very likely the official website of the pub.;loc_ok=district+address",,
0,https://travelxchange.com.au/pubdet.asp?hotid=PA21346&Type=pub&Sname=The-London-Tavern,way/228900858,The London Tavern,,E5,E,92,Rendlesham Road,London,0.9,"openai:The URL explicitly mentions the exact address 92 Rendlesham Road and postcode E5 8PA matching the pub's location, indicating strong relevance and geographic match.;loc_ok=near_coords",,
1,https://www.royalsovereignclapton.co.uk/index,node/306966699,The Royal Sovereign,,E5,E,64,Northwold Road,London,0.9,"openai:This candidate URL is a dedicated domain for The Royal Sovereign in Clapton, London, and the page snippet describes the pub with relevant details matching the address and area. It has the highest combined page evidence and geo bonus scores, indicating strong relevance and location match.;loc_ok=near_coords",,
1,https://boleyntavern.co.uk/,3d49e7a8-7b6f-40da-9779-995212d8f8cf,Boleyn Tavern,Remarkable Pubs,E6,E,,,,0.95,"openai:The URL is the official website for The Boleyn Tavern with strong page evidence and geo bonus matching the pub's location in E6 district, making it the best match over other aggregator or review sites.;loc_ok=near_coords",,
1,https://www.brewersfayre.co.uk/en-gb/locations/greater-london/winsor-house,way/757875931,Brewers Fayre,Brewers Fayre,E6,E,1,Woolwich Manor Way,London,0.95,"openai:The URL is the official Brewers Fayre site for the Winsor House location at 1 Woolwich Manor Way, matching the pub's address and operator exactly.;loc_ok=district+address",,
0,https://www.pubsgalore.co.uk/pubs/24928/,way/1285226741,Red Lion,,E6,E,80,High Street South,London,0.8,openai:The Pubs Galore page specifically references The Red Lion in E6 London with good location evidence and is a dedicated pub site rather than an aggregator or social network.,loc_ok=near_coords,
1,https://boleyntavern.co.uk/,way/436146455,The Boleyn,,E6,E,1,Barking Road,London,0.95,"openai:The URL boleyntavern.co.uk matches the pub name exactly and the page mentions the address 1 Barking Road, E6, which matches the given pub location. It is clearly the pub's official website rather than an aggregator or unrelated site.;loc_ok=near_coords",,
0,https://www.useyourlocal.com/pubs/overdraft-tavern-london-e6-14432/,node/331933100,The Overdraft Tavern,,E6,E,,,,0.9,openai:The URL specifically names The Overdraft Tavern with the E6 district matching the pub's district and has strong geo evidence and relevant content about the pub.,loc_ok=near_coords,
0,https://streets.openalfa.co.uk/streets/ardisia-mews-e7-forest-gate-south-ward-forest-gate-london-borough-of-newham-greater-london,way/879875254,Forest Tavern,Antic London,E7,E,173-175,Forest Lane,London,0.8,"openai:This candidate URL mentions the exact address 173-175 Forest Lane and the operator Antic London, matching the pub's details closely with a positive geo bonus, indicating strong location relevance.;loc_ok=near_coords",,
