calc_postcode_district,calc_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,photo_url1,photo_url2,photo_url3,photo_url4,photo_url5,founded,description,has_pub_garden,has_live_music,has_food_available,has_dog_friendly,has_pool_darts,has_accommodation,addr_housenumber,addr_street,phone,website,wikidata,opening_hours,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,opening_hours_e,opening_hours_f,conf_description,conf_phone,conf_founded,conf_operator,conf_has_pub_garden,conf_has_live_music,has_live_sport_tv,conf_has_live_sport_tv,conf_has_food_available,conf_has_dog_friendly,conf_has_pool_darts,conf_has_accommodation,fc_status,fc_error,fc_quality_flags,fc_quality_note,,fcs_status,fcs_error,fcs_query,fcs_source_url,fcs_source_title,fcs_website_guess,fcs_website_conf,fcs_quality_flags,fcs_quality_note,
E1,E,supabase,,54986812-cc27-4db2-ab19-06ca9a65172f,51.5137,-0.070338,Leman Street Tavern,Independent,,,,,,,"Leman Street Tavern is a pub in Aldgate, described as “Aldgate’s shining gem” where the City of London meets the East End. It offers a heated, covered beer garden and a range of spaces for dining, drinks, and celebrations, including a fully private room called “The Chambers” and an outdoor terrace. Food is a key focus, with “Best of British Classics,” seasonal menus, and “Legendary Sundays” featuring Sunday roasts and double-egg Yorkshire puddings. The venue also promotes World Cup 2026 viewing “across our screens,” with big-match atmosphere. Food is served from 12:00–21:00 on Sundays, and the pub is open Sunday 12:00–22:00.",TRUE,,TRUE,,,,,,(020) 3437 0001,https://www.lemanstreettavern.co.uk/,,,,,,,,,0.86,0,0,0.42,0.9,0,TRUE,0.88,0.95,0,0,0,ok,,,,,,,,,,,,,,
E1,E,node,48928595,node/48928595,51.5190934,-0.0589373,London Hospital Tavern,,,,,,,,"The London Hospital Tavern (LHT) was built for the builders of the hospital that shares its name, over 150 years ago, as a place to enjoy a pint after work. Today it continues that tradition for NHS staff and the local community. The pub offers food via a menu you can check before you arrive, alongside a wide selection of beer, wines and spirits, including a cocktail of the month and constantly rotating ales. There’s also a house bottled beer with 10p from every bottle sold going to the Air Ambulance Charity. Upstairs, the Mosaic bar hosts midweek live entertainment such as comedy, storytelling, improv and jazz, with more event nights at weekends.",,TRUE,TRUE,,,,176,Whitechapel Road,0207 247 8978,https://www.londonhospitaltavern.com/,,,,,,,,,0.9,0.95,0.2,0,0,0.75,,0,0.9,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,270424950,way/270424950,51.5217148,-0.0723595,Ninety One,,,,,,,,"Ninety One is a modern pub on Brick Lane, set within the Old Brewmaster's House of the Truman Brewery. It’s described as a cosy neighbourhood hangout with a warm, laid-back atmosphere. The venue is set up for dining alongside quality live music, which then flows into signature DJ nights that run late, with the dance floor coming alive on weekends. Food is available via a dedicated Food Menu and a Sunday roast menu. Opening times are listed for Wednesday through Sunday.",,TRUE,TRUE,,,,91,Brick Lane,,https://91bricklane.pub/,,,,,,,,,0.9,0,0,0,0,0.85,,0,0.95,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,236653740,way/236653740,51.5189522,-0.0712189,Pride of Spitalfields,,https://commons.wikimedia.org/wiki/Special:FilePath/The_Pride_of_Spitalfields.jpg,,,,,,"The Pride of Spitalfields London is an authentic East End pub just off Brick Lane, offering traditional vibes and a warm, inviting atmosphere. The page highlights an exceptional beer selection with cask ales and well-kept pints, including a cracking Guinness at notably reasonable prices. Inside, it’s described as cozy and unpretentious, with worn carpets, comfy seats, and a roaring fire, creating a classic “public house” feel. There’s also mention of a lively standing crowd and an outside patio/street area that can be packed on sunny days. The venue is presented as a community hub with piano nights mentioned as a regular feature.",TRUE,,,,,,3,Heneage Street,+44 20 7247 8933,https://theprideofspitalfieldslondon.shop/,Q15059604,,,,,,,,0.9,0.95,0,0,0.75,0.6,,0,0,0,0,0.55,ok,,,,,,,,,,,,,,
E1,E,way,107275360,way/107275360,51.5114788,-0.0705158,Princess Of Prussia,Shepherd Neame,,,,,,,"The Princess of Prussia is a traditional, historic pub in Whitechapel, close to Tower Bridge and the Tower of London. Inside, it features original ornate ceramic mouldings, cornices and fascia tiles, with a cosy traditional bar serving real ales from Shepherd Neame. It offers lunchtime food with a Thai twist (including Jungle Curry and Drunken Noodles) plus fish and chips, available 12–3pm daily. There’s also an alfresco experience in a secret, covered and heated beer garden, where food and drink are served up to 10pm.",TRUE,,TRUE,,,,15,Prescot Street,,https://www.princessofprussia.co.uk/,,,,,,,,,0.9,0,0,0.55,0.95,0,,0,0.95,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,413193939,way/413193939,51.5099253,-0.0684047,Sir Sidney Smith,,,,,,,,,,,,,,,22,Dock Street,,https://www.sirsydneysmith.com,,,,,,,,,0.72,0,0,0,0,0,,0,0.62,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,778627033,way/778627033,51.5104559,-0.0701304,The Artful Dodger,,https://commons.wikimedia.org/wiki/Special:FilePath/47_Royal_Mint_Street_E1_8LG.jpg,,,,,,"Step into a classic London boozer near Tower Hill, with a warm, welcoming feel and plenty of local character. Expect a lively hangout built around pub games—pool table, dart boards—and an eclectic jukebox for background music. There’s also a spacious beer garden for unwinding with a pint. The menu is described as classic pub fare, ideal for a relaxed dine-in while you play. Drinks include well-known lagers and regular ales, with occasional special releases, and the bar team is noted for friendly service.",TRUE,,,,TRUE,,47,Royal Mint Street,442074813493,,Q27084908,Mo-Fr 11:00-23:00, Sa 11:00-23:30, Su 12:00-22:30,,,,,0.78,0.9,0.55,0.45,0.85,0,,0,0.7,0,0.95,0,,,,,,ok,,"""The Artful Dodger"" 47 Royal Mint Street London pub",https://the-artful-dodger.com-place.com/,The Artful Dodger - Pub in Wapping Suburb - Website,,0,other_concern,"The page states it is not the official website and content is community-updated. Also, one source mentions the pub was formerly known as the Crown Seven Stars and is in Goodmans, which may not match the provided address context.",
E1,E,way,89970679,way/89970679,51.5178751,-0.078782,The Astronomer,Fuller's,,,,,,,"The Astronomer is a pub in one of London’s most vibrant areas, drawing style inspiration from the night sky and offering a lively atmosphere. It serves fresh, well-kept cask ales, craft beers and cocktails, alongside a dining menu of refined pub classics made with fresh, seasonal ingredients. The Rocket Room downstairs can cater for private events including business meetings, weddings and birthdays. The venue also highlights board games, free WiFi and accessibility features, and it welcomes families and assistance dogs. Food is served daily with set food serving times.",,,TRUE,TRUE,,,125-129,Middlesex Street,020 7929 6818,https://www.theastronomerpub.co.uk/,,,,,,,,,0.9,0.95,0,0.6,0,0,,0,0.95,0.95,0,0,ok,,,,,,,,,,,,,,
E1,E,way,200356056,way/200356056,51.5227673,-0.0400483,The Bancroft Arms,,,,,,,,,,,TRUE,,,,410,Mile End Road,,,,,,,,,,,0.74,0,0,0.45,0.7,0.55,TRUE,0.8,0.75,0,0.6,0,,,,,,ok,,"""The Bancroft Arms"" 410 Mile End Road London pub",https://london.fandom.com/wiki/The_Bancroft_Arms,The Bancroft Arms - London Wiki,,0,,No phone number or official website found in the provided search-result markdown.,
E1,E,way,204000375,way/204000375,51.5158372,-0.0756073,The Bell,,,,,,,,"The Bell is an independently owned Victorian pub on the fringes of the City on Middlesex Street, near Petticoat Lane Market and Jack the Ripper territory. It’s easy to reach from Liverpool Street and Aldgate underground stations, and is known for a mixed crowd of local residents and office workers. The pub is eclectically decorated and features two function rooms, including a games room with a pool table, darts and table football, plus an upstairs function room for rehearsals, meetings, performances and screenings. There’s also street art updates. Food is available via Detroit Pizza delivery or by bringing food from the local market, alongside craft beer on tap and in fridges.",,,TRUE,,TRUE,,50,Middlesex Street,+44 20 7247 3459,https://www.thebellpub.co.uk/,,Mo-We 11:00-23:00, Th-Fr 11:00-00:00,,,,,,0.9,0.95,0,0,0,0,,0,0.85,0,0.95,0,ok,,,,,,,,,,,,,,
E1,E,way,310350976,way/310350976,51.5200501,-0.0569197,The Blind Beggar,,https://commons.wikimedia.org/wiki/Special:FilePath/The_Blind_Beggar_-_Whitechapel_-_E1.jpg,,,,,1894,"The Blind Beggar is a “wet-led” pub in Whitechapel, London, known for its regularly updated beer lineup and wide range of beer styles, from lagers to craft ales. The pub has a long history, including being the former brewery tap of the Manns Albion brewery and being built in 1894 on an earlier inn site. It’s also noted for its famous cultural connections, and hosts events such as “The Krays: Ronnie, Reggie and Me” with Fred Dinenage. The venue features an award-winning beer garden with a decked pergola, heated outside bar, and comfortable seating.",TRUE,,FALSE,,,,337-341,Whitechapel Road,,https://www.theblindbeggar.com/,Q7718589,,,,,,,,0.86,0,0.9,0,0.95,0,,0,0.98,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,257334015,way/257334015,51.511393,-0.0684607,The Brown Bear,Independent,https://commons.wikimedia.org/wiki/Special:FilePath/The_Brown_Bear_(6784305943).jpg,,,,,1780,"Nestled at 139 Leman Street in the vibrant Whitechapel district of London, the Brown Bear stands as one of the East End's most storied public houses. This Grade II listed Victorian gem, with its striking blue facade and bear motifs, has served as a social anchor for over two centuries. Its history mirrors the area's transformation—from 18th-century industrial bustle to the gritty underbelly of Victorian London, through wartime resilience and into the multicultural hub it is today.",,,TRUE,,TRUE,,139,Leman Street,+44 20 7481 3792,https://www.thebrownbear.london/,Q26318258,Mo-Fr 12:00-23:30, Sa-Su 11:00-23:00,,,,,,,0,0,0,0,0,0,TRUE,0,0,0,0,0,ok,,very_thin_scrape,,,,,,,,,,,
E1,E,node,10251784717,node/10251784717,51.5172501,-0.0702726,The Buxton,,,,,,,,"The Buxton is described as a small wine bar and hotel with big character at the foot of Brick Lane in London. The site highlights an “Eat & Drink” offering with a bar menu curated with working relationships with brewers and winemakers. It also offers accommodation: 15 simple, paired-back bedrooms for the modern traveller, with room booking and an email contact for queries. The page notes the venue is open now and provides opening hours (7AM to 11PM).",,,TRUE,,,TRUE,42,Osborn Street,,https://www.thebuxton.co.uk/,,"Mo-Th 08:00-23:00; Fr,Sa 08:00-23:30; Su 08:00-19:30",,,,,,,0.86,0,0,0,0,0,,0,0.78,0,0,0.9,ok,,,,,,,,,,,,,,
E1,E,node,277909036,node/277909036,51.5148862,-0.0687963,The Castle,,,,,,,,,,,,,,,44,Commercial Road,,http://www.thecastlelondon.com/,,"Su-Tu 16:00-24:00, We 16:00-01:00, Th 16:00-01:30, Fr,Sa 16:00-03:00",,,,,,,0,0,0,0,0,0,,0,0,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,157322996,way/157322996,51.5225031,-0.0782488,The Crown and Shuttle,,,,,,,,"The Crown and Shuttle is an old-school East-End boozer on Shoreditch High Street in East London. The venue offers food via a “Daily Menu” and has drink menus, with opening hours that vary by day and can change for events and sports matches. It’s set up for groups, with table areas for drinks and private spaces for parties. The pub also hosts entertainment upstairs at Filthy Fanny’s, including weekly life drawing classes, life music, comedians, and other “louche entertainment”. There are references to a beer garden, and the site highlights seasonal events and match-related viewing.",,,TRUE,,,,226,Shoreditch High Street,442073752905,https://www.crownandshuttle.com/,,Mo 16:00-23:00, Tu-We 12:00-23:00, Th-Fr 12:00-00:00, Sa 12:00-01:00,,,,0.78,0.95,0,0,0.72,0.55,,0.2,0.9,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,161720577,way/161720577,51.5168862,-0.0729084,The Culpeper,Independent,,,,,,,,TRUE,,TRUE,,,TRUE,40,Commercial Street,+44 20 7247 5371,https://www.theculpeper.com/,,"Mo-Sa 12:00-24:00, Su 12:00-21:00",,,,,,,0.72,0,0,0,0,0,,0,0,0,0,0.75,ok,,very_thin_scrape,,,,,,,,,,,,
E1,E,way,195649317,way/195649317,51.514343,-0.0530176,The George Tavern,Pauline Forster,https://commons.wikimedia.org/wiki/Special:FilePath/The_George_Tavern_-_373_Commercial_Road%2C_London.jpg,,,,,,"The George Tavern is a legendary public house in London’s east end, known for its thriving artistic community. Owner Pauline Forster has spent the last decade turning The George into an arts, music and performance venue with an international reputation. The pub offers live music from a range of artists, alongside the comfort of a classic East-End boozer. It also serves fresh hand-stretched pizza in the garden, with the kitchen open Wednesday to Sunday from 6pm til late. The venue includes a cosy dining area at the back of a patio and has a distinctive “Save The George” design associated with London’s indie-music scene.",TRUE,TRUE,TRUE,,,,373,Commercial Road,+44 20 7790 7335,https://thegeorgetavern.london/,Q5545090,Su-We 16:00-00:00, Th 16:00-02:30, Fr-Sa 16:00-03:00,,,,,0.9,0,0,0.75,0.9,0.9,,0,0.95,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,157323017,way/157323017,51.5201489,-0.0742242,The Golden Heart,,https://commons.wikimedia.org/wiki/Special:FilePath/Golden_Heart%2C_Spitalfields%2C_E1_(3171985492).jpg,,,,,,"Set on a prominent corner in Spitalfields, this Grade II listed pub is a rare inter-war “improved” design with a largely intact interior. Expect a warm, historic feel with separate bar spaces including a Saloon Bar entrance on Hanbury Street, plus original features like fielded panelling, stained glass and fixed bench seating. The venue is closely tied to Truman’s Brewery and its 1930s style, with neo-Georgian frontage and original neon signage. A great choice for a relaxed drink in a building with real architectural and local-art history behind it.",,,,,,,110,Commercial Street,,,Q21008660,,,,,,,,0.78,0,0.62,0,0,0,,0,0,0,0,0,,,,,,ok,,"""The Golden Heart"" 110 Commercial Street London pub",https://www.mapquest.com/gb/england/the-golden-heart-777580735,"The Golden Heart, 110 Commercial Street, London, England E1 6LZ, GB - MapQuest",,0,,,
E1,E,node,3010570949,node/3010570949,51.5173312,-0.061108,The Good Samaritan,,,,,,,,,,,TRUE,,,,87,Turner Street,020 7247 9146,,,,,,,,,,0.72,0.95,0,0,0,0,TRUE,0.9,0.75,0,0,0,,,,,,ok,,"""The Good Samaritan"" 87 Turner Street London pub",https://www.inapub.co.uk/venues/the-good-samaritan/london/e12ae/7244,The Good Samaritan - A  pub  with Sky TV  in London.,,0,possible_wrong_pub,"One source section describes 'Good Samaritan' as a pizzeria, which conflicts with the pub listing details; treat food/venue description from that section as unreliable.",
E1,E,way,276100290,way/276100290,51.5201803,-0.0763452,The Grocer,Young's,,,,,,,"Set inside Spitalfields Market, this Young’s gastropub brings industrial East London energy with a rustic wooden bar and a large covered terrace for drinks overlooking the bustle. Expect freshly poured pints alongside ales, fine wines and premium spirits, plus hearty British pub grub—think grilled steaks, burgers and Sunday roasts. A great stop for after-work crowds near Liverpool Street, with a beer-garden style terrace designed for lingering.",TRUE,,TRUE,,,,4,Crispin Place,+44 20 3437 0005,,,09:00-23:00,,,,,,,0.86,0,0,0.78,0.9,0,,0,0.95,0,0,0,,,,,,ok,,"""The Grocer"" 4 Crispin Place London pub",https://thatsup.co.uk/london/bar/the-grocer/,"The Grocer – Pub – Shoreditch/Tower Hamlets, London",,0,,,
E1,E,node,6119354792,node/6119354792,51.5189211,-0.0761157,The Gun,Urban Pubs & Bars,,,,,,,"The Gun in Spitalfields is an East London community hub by Spitalfields Market, described as an “East London favourite since the 17th Century”. It offers a craft drinks selection alongside seasonally rotating menus inspired by British produce, including sharing plates and a noted Sunday roast. The venue also runs events such as Sunday roasts, cocktail masterclasses, and DJ nights (Thursday to Saturday). It has kitchen times listed and serves food daily with Sunday kitchen hours ending earlier. For sports fans, it mentions “big screens” and “every kick live” for World Cup match nights.",,,TRUE,,,,54,Brushfield Street,442078469594,https://www.urbanpubsandbars.com/city-by-urban/venues/the-gun-london,,Mo-Sa 12:00-23:30, Su 12:00-22:00,,,,,,0.86,0.98,0.55,0,0.62,0,,0.72,0.95,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,448779543,way/448779543,51.5223694,-0.0453454,The Half Moon,Wetherspoon,https://commons.wikimedia.org/wiki/Special:FilePath/Half_Moon%2C_Mile_End_Road_-_geograph.org.uk_-_5049625.jpg,,,,,,"The Half Moon is a pub at 213–223 Mile End Road, Mile End (Tower Hamlets). The building began as a former Methodist chapel built in 1900, later taken over by the Half Moon Theatre Company in 1977, and eventually converted into The Half Moon several years after the theatre closed in 1990. The venue offers Wi‑Fi, TV screens, and a licensed outside deck, with step-free access and baby changing facilities. Opening times run from 8:00am to late most days, with children under 18 only allowed on the premises between 8:00am and 9:00pm. Food and drinks can be ordered via the Wetherspoon app.",TRUE,,,,,,213-223,Mile End Road,+44-20-7790-6810,https://www.jdwetherspoon.com/pubs/the-half-moon-mile-end,Q88916474,,,,,,,,0.86,0.95,0.55,0.6,0.85,0,,0,0.7,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,303225529,way/303225529,51.5227636,-0.0468748,The Horn of Plenty,,,,,,,,"The Horn of Plenty is a small neighbourhood pub in the heart of Stepney Green, about 100 yards from the station. It’s described as intimate and cosy, with a huge selection of East End produce and local breweries, wines and spirits. The pub has 2 big screens/projectors showing football, rugby and other sporting events, plus a weekly quiz (Tuesdays) and themed quiz nights monthly. There are also NHS & student discounts on Wednesdays, a few boardgames, and a “cracking playlist”. Opening hours are listed for each day, and reservations are mentioned.",,,,,,,36,Globe Road,,https://www.thehornofplentypub.co.uk/,,,,,,,,,0.86,0,0,0,0,0,TRUE,0.95,0,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,205408905,way/205408905,51.522141,-0.0783797,The Light Bar,,,,,,,1893,"The Light Bar is an independent bar and dining venue set in an old Victorian power station built in 1893, in Shoreditch, London. It spans three floors and is described as a modern bar and restaurant with “good times.” The page highlights new menus, later hours, and offers events such as bottomless brunch with world-class DJs, a Friday happy hour (2-4-1 cocktails between 4pm–8pm), and DJ nights every Friday and Saturday.",,,TRUE,,,,233,Shoreditch High Street,,https://www.lightbarlondon.com/,,,,,,,,,0.86,0,0.78,0,0,0,,0,0.78,0,0,0,ok,,,,,,,,,,,,,,
E1,E,node,296620391,node/296620391,51.5128687,-0.0701002,The Oliver Conquest,,,,,,,,"The Oliver Conquest dates from the mid 19th century and was originally called The Garrick, attached to the first Garrick Theatre behind the pub. The venue highlights a strong gin focus, with a current range of over 120 different bottles and new varieties added daily. There are featured gin and spirit selections including Japanese Gin with botanicals such as yuzu and juniper, spiced rum from the Sairen range, and a Black & Gold 11yo bourbon. The page also promotes booking a table and ordering via the site locator.",,,,,,,70,Leman Street,,https://www.conquestpubs.co.uk/,,,,,,,,,0.78,0,0.25,0,0,0,,0,0,0,0,0,ok,,,,,,,,,,,,,,
E1,E,way,373272377,way/373272377,51.5242882,-0.0754743,The Owl & the Pussycat,Young's,https://commons.wikimedia.org/wiki/Special:FilePath/The_Crown_Public_House%2C_now_Owl_and_Pussycat.jpg,,,,,,"The Owl & the Pussycat is a popular Shoreditch pub on Redchurch Street, described as the “soul of Shoreditch” with an old-skool heart. It offers a food menu of hearty pub favourites, sharing boards and nibbly bits, plus beers on draft and seasonal cocktails. Sundays are a highlight, with epic Sunday roasts, bottomless Yorkies and unlimited gravy, plus a “Crumble Guy” mention. There’s an all-season, heated and covered beer garden at the rear, and the first-floor “Jago” space for food, drinks and cocktails. The pub also shows World Cup 2026 games live on big screens in proper pub style.",TRUE,,TRUE,TRUE,,,34,Redchurch Street,+44 20 3487 0088,https://www.owlandpussycatshoreditch.com,Q26318188,"Mo,Su 11:00-23:00; Tu-Sa 11:00-24:00",,,,,,,0.9,0.95,0,0.55,0.98,0,TRUE,0.9,0.98,0.85,0,0,ok,,,,,,,,,,,,,,
